@relation R_data_frame

@attribute asia {no,yes}
@attribute bronc {no,yes}
@attribute dysp {no,yes}
@attribute either {no,yes}
@attribute lung {no,yes}
@attribute tub {no,yes}
@attribute xray {no,yes}

@data
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,yes,no,yes,yes
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,yes,yes,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,yes
no,no,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,no,no,no,no
yes,yes,yes,no,no,no,yes
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,yes,no,yes,yes
no,yes,yes,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
yes,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,yes,no,no,no,no,yes
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,yes,yes,yes,no,yes
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,yes
no,no,no,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,yes,no,yes,yes
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,yes,yes,yes,no,yes
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,yes
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,yes
no,no,no,no,no,no,no
no,no,no,no,no,no,yes
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,yes,no,no,no,no
no,no,yes,yes,yes,no,yes
no,no,yes,yes,no,yes,yes
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
yes,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
yes,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,yes,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,yes,yes,no,yes,yes
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,no,no,no,no,no,yes
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,yes
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,yes
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,yes,no,no,no,yes
no,no,yes,yes,yes,no,yes
no,yes,yes,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,yes
no,yes,yes,no,no,no,yes
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,yes
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,yes
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,yes,yes,no,yes
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,yes
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
yes,yes,yes,yes,no,yes,yes
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,yes,no,yes,yes
no,no,no,no,no,no,yes
no,yes,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,yes,yes,no,yes
no,no,no,no,no,no,no
no,yes,yes,no,no,no,yes
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,yes
no,yes,yes,yes,yes,no,yes
no,no,yes,yes,yes,no,yes
no,yes,yes,no,no,no,yes
no,no,yes,no,no,no,yes
no,yes,yes,no,no,no,no
no,no,yes,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,no,yes,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,yes
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,yes
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,yes
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,yes,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,no,yes,yes,no,yes,yes
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,yes
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,no,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,no,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,yes
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,yes,yes,no,no,no,yes
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
yes,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,yes
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,no,yes,no,no,no,no
no,no,no,yes,yes,no,yes
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,yes,yes,no,yes
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,yes,no,yes,yes
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,yes,no,yes,yes
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,yes
no,yes,no,no,no,no,no
no,yes,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,yes
no,yes,yes,no,no,no,no
no,no,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,no,yes,yes,yes,no,yes
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,yes
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,yes
no,no,no,yes,yes,no,yes
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,yes,yes,no,yes,yes
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,no,no,no,no
no,yes,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,no,no,no,no,no,no
